Data,Vento0,Vento1,Vento2,Vento3,Vento4,Vento5,Vento6,Vento7,Vento8,Vento9,Vento10,Vento11,Vento12,Vento13,Vento14,Vento15,Vento16,Vento17,Vento18,Vento19,Vento20,Vento21,Vento22,Vento23
19-MAR-2012,2.2,2.9,5.0,2.8,0.5,1.6,2.6,1.5,2.2,1.5,0.7,1.7,1.8,2.7,1.7,2.2,2.3,1.4,2.5,2.1,1.6,1.2,1.2,1.4
20-MAR-2012,0.9,1.3,1.3,1.1,0.8,0.8,0.4,0.8,1.0,1.1,2.5,1.2,2.1,2.3,2.5,2.3,1.2,1.1,3.1,2.5,1.7,0.7,0.7,0.5
21-MAR-2012,1.9,2.2,2.2,2.5,3.0,1.8,1.6,1.8,0.8,1.2,1.5,2.4,2.5,2.6,2.4,2.5,2.4,2.6,3.1,2.5,1.6,0.6,0.5,1.6
22-MAR-2012,1.0,1.2,1.4,0.9,1.0,1.8,2.1,0.8,0.9,2.2,2.6,3.1,2.7,2.7,2.9,2.3,1.7,1.4,2.7,1.9,2.4,0.7,0.4,1.1
23-MAR-2012,1.9,1.4,1.2,2.6,0.5,0.8,0.8,1.2,0.6,0.8,2.1,2.6,2.5,2.7,2.5,3.3,2.0,3.6,4.6,3.0,1.9,0.7,0.9,0.6
24-MAR-2012,1.5,2.7,1.6,2.2,2.0,1.1,1.3,1.0,0.7,1.1,1.3,2.3,3.6,3.4,2.2,2.8,1.5,2.7,1.6,1.4,1.5,0.8,1.2,3.5
25-MAR-2012,2.1,2.6,2.6,1.3,1.5,0.6,0.7,0.8,0.7,1.1,1.8,1.9,2.5,2.3,2.2,1.9,1.4,2.6,2.2,1.0,2.1,0.7,1.4,1.0
26-MAR-2012,2.2,2.3,2.3,1.0,0.8,1.1,1.4,1.4,1.0,1.7,2.4,4.2,3.2,2.2,2.7,3.2,2.6,1.4,2.2,0.9,0.8,0.5,0.9,0.6
27-MAR-2012,1.5,2.5,2.6,1.3,1.6,2.3,1.4,1.7,0.9,1.5,0.9,2.1,3.4,2.9,2.2,3.6,2.7,1.3,1.9,1.8,0.9,2.3,0.4,0.5
28-MAR-2012,2.4,2.0,2.6,2.2,0.7,1.1,0.9,1.2,1.0,1.5,1.7,2.8,2.8,2.7,2.7,3.0,2.4,1.0,1.8,0.9,1.2,0.3,0.2,1.1
29-MAR-2012,0.5,2.1,2.3,1.3,1.8,1.0,2.0,1.5,2.2,1.6,1.5,1.5,1.7,1.8,2.8,2.9,2.6,2.2,2.5,2.2,3.9,1.8,2.1,0.6
30-MAR-2012,0.9,2.9,1.6,1.6,1.1,1.3,1.7,0.9,1.4,0.6,1.7,4.9,3.9,4.3,3.9,3.7,3.2,1.3,2.5,0.7,0.6,0.7,1.2,0.5
31-MAR-2012,1.2,3.4,2.4,1.4,2.0,1.9,1.5,0.7,0.8,1.0,1.7,3.5,2.7,3.6,3.7,2.7,3.9,2.5,3.1,1.3,3.3,0.9,0.6,2.0
01-ABR-2012,4.4,5.2,3.2,1.6,1.6,2.4,2.0,1.4,1.7,1.1,3.2,3.8,3.5,4.3,3.4,3.4,2.7,3.8,4.3,2.3,3.0,1.9,1.4,2.7
02-ABR-2012,1.5,3.0,2.5,2.4,2.5,1.4,2.1,1.7,1.7,1.7,3.0,3.1,4.2,3.8,3.7,2.8,2.5,1.2,1.8,2.0,2.1,2.2,0.5,1.8
03-ABR-2012,2.0,3.0,3.1,1.6,1.7,2.1,1.8,1.9,1.6,2.1,3.9,3.2,3.4,4.1,1.8,2.6,1.2,2.5,3.1,3.2,3.7,3.5,2.2,4.6
04-ABR-2012,2.6,2.4,1.2,1.8,2.4,1.2,1.6,1.7,1.2,1.5,1.3,2.2,2.2,2.3,2.9,3.4,3.3,2.2,5.2,3.1,4.2,1.7,3.5,3.3
05-ABR-2012,2.4,2.9,1.8,1.6,1.8,2.2,2.0,2.1,1.3,1.2,2.1,3.7,4.1,4.4,4.5,3.6,3.6,3.1,3.9,2.5,2.7,0.5,1.3,1.7
06-ABR-2012,2.5,1.4,2.8,2.7,1.3,2.3,1.9,1.2,0.9,1.4,1.4,3.1,3.8,2.8,3.4,2.9,3.7,2.6,3.0,1.0,3.6,3.1,0.9,0.7
07-ABR-2012,0.5,0.7,0.6,1.2,2.3,2.0,2.4,2.7,1.8,1.1,1.5,3.1,2.8,3.4,2.3,2.8,2.3,3.1,2.6,4.8,3.0,3.8,3.1,1.4
08-ABR-2012,1.4,0.9,1.6,0.7,0.4,0.4,1.6,1.4,1.7,1.1,2.1,3.1,3.3,3.6,3.9,3.2,4.3,4.2,2.9,2.8,3.1,1.0,1.0,1.3
09-ABR-2012,2.0,3.0,2.5,3.0,1.7,2.3,1.8,1.5,1.6,1.3,3.2,2.7,2.5,3.8,2.9,3.0,4.4,3.7,2.6,3.4,2.8,1.1,2.4,2.3
10-ABR-2012,3.8,3.9,3.5,2.7,3.3,2.7,2.1,2.0,2.7,3.6,3.7,4.4,4.5,3.5,2.9,3.1,3.3,3.7,4.0,4.0,4.3,1.7,1.9,2.0
11-ABR-2012,2.1,3.0,2.8,2.4,2.2,1.6,3.3,2.4,3.1,2.4,3.1,4.7,3.2,3.4,4.1,2.7,3.7,2.5,3.4,2.7,3.1,2.5,3.5,2.1
12-ABR-2012,3.1,2.5,2.9,2.8,2.3,2.3,1.3,1.7,1.5,0.8,2.5,3.5,3.2,3.2,5.0,2.5,2.8,3.1,1.9,2.2,2.4,1.5,1.1,0.7
