"","Date","Hour","WindSpeed"
"578",2012-01-25,1,1.3
"579",2012-01-25,2,1.4
"580",2012-01-25,3,1.8
"581",2012-01-25,4,3.5
"582",2012-01-25,5,2.5
"583",2012-01-25,6,1.6
"584",2012-01-25,7,1
"585",2012-01-25,8,1.2
"586",2012-01-25,9,1.9
"587",2012-01-25,10,1.2
"588",2012-01-25,11,2.8
"589",2012-01-25,12,2.5
"590",2012-01-25,13,4
"591",2012-01-25,14,4.3
"592",2012-01-25,15,2.4
"593",2012-01-25,16,2.6
"594",2012-01-25,17,2.1
"595",2012-01-25,18,3.1
"596",2012-01-25,19,1.9
"597",2012-01-25,20,1.7
"598",2012-01-25,21,1.1
"599",2012-01-25,22,2.5
"600",2012-01-25,23,1.1
"601",2012-01-26,0,0.3
"602",2012-01-26,1,1.2
"603",2012-01-26,2,3
"604",2012-01-26,3,2.4
"605",2012-01-26,4,1.9
"606",2012-01-26,5,1.3
"607",2012-01-26,6,1.3
"608",2012-01-26,7,1.1
"609",2012-01-26,8,1
"610",2012-01-26,9,1.3
"611",2012-01-26,10,1.6
"612",2012-01-26,11,2.8
"613",2012-01-26,12,2.1
"614",2012-01-26,13,4.1
"615",2012-01-26,14,4.1
"616",2012-01-26,15,1.8
"617",2012-01-26,16,3.5
"618",2012-01-26,17,2.8
"619",2012-01-26,18,3
"620",2012-01-26,19,3.2
"621",2012-01-26,20,1.5
"622",2012-01-26,21,0.3
"623",2012-01-26,22,0.3
"624",2012-01-26,23,1.1
"625",2012-01-27,0,0.9
"626",2012-01-27,1,1
"627",2012-01-27,2,2.6
"628",2012-01-27,3,4.3
"629",2012-01-27,4,1.4
"630",2012-01-27,5,2.3
"631",2012-01-27,6,1.5
"632",2012-01-27,7,1
"633",2012-01-27,8,1.4
"634",2012-01-27,9,0.7
"635",2012-01-27,10,1.8
"636",2012-01-27,11,1.6
"637",2012-01-27,12,1.9
"638",2012-01-27,13,2.7
"639",2012-01-27,14,2.2
"640",2012-01-27,15,2.4
"641",2012-01-27,16,2.5
"642",2012-01-27,17,3.7
"643",2012-01-27,18,2.2
"644",2012-01-27,19,4
"645",2012-01-27,20,1.9
"646",2012-01-27,21,1.7
"647",2012-01-27,22,0.7
"648",2012-01-27,23,0.5
"649",2012-01-28,0,1.5
"650",2012-01-28,1,1.1
"651",2012-01-28,2,2.2
"652",2012-01-28,3,3.1
"653",2012-01-28,4,1.3
"654",2012-01-28,5,1.6
"655",2012-01-28,6,0.9
"656",2012-01-28,7,1
"657",2012-01-28,8,1.1
"658",2012-01-28,9,0.7
"659",2012-01-28,10,1.8
"660",2012-01-28,11,2.2
"661",2012-01-28,12,3.1
"662",2012-01-28,13,2.8
"663",2012-01-28,14,3.3
"664",2012-01-28,15,3.6
"665",2012-01-28,16,2.8
"666",2012-01-28,17,3.9
"667",2012-01-28,18,3.1
"668",2012-01-28,19,4.2
"669",2012-01-28,20,3.2
"670",2012-01-28,21,2.5
"671",2012-01-28,22,2.5
"672",2012-01-28,23,2.9
"673",2012-01-29,0,2.6
"674",2012-01-29,1,2.3
"675",2012-01-29,2,2.8
"676",2012-01-29,3,1.7
"677",2012-01-29,4,1.2
"678",2012-01-29,5,1.6
"679",2012-01-29,6,1
"680",2012-01-29,7,1.3
"681",2012-01-29,8,1
"682",2012-01-29,9,1.2
"683",2012-01-29,10,1.2
"684",2012-01-29,11,1.4
"685",2012-01-29,12,1.8
"686",2012-01-29,13,3.3
"687",2012-01-29,14,3
"688",2012-01-29,15,2.1
"689",2012-01-29,16,2.3
"690",2012-01-29,17,2.3
"691",2012-01-29,18,2.4
"692",2012-01-29,19,1.9
"693",2012-01-29,20,1.6
"694",2012-01-29,21,2.7
"695",2012-01-29,22,2.9
"696",2012-01-29,23,0.5
"697",2012-01-30,0,1.6
"698",2012-01-30,1,2.3
"699",2012-01-30,2,2.5
"700",2012-01-30,3,2.1
"701",2012-01-30,4,3.2
"702",2012-01-30,5,3.7
"703",2012-01-30,6,2.6
"704",2012-01-30,7,2.7
"705",2012-01-30,8,1.5
"706",2012-01-30,9,3
"707",2012-01-30,10,2.1
"708",2012-01-30,11,1.7
"709",2012-01-30,12,3
"710",2012-01-30,13,4
"711",2012-01-30,14,3.5
"712",2012-01-30,15,3.7
"713",2012-01-30,16,3.2
"714",2012-01-30,17,5.4
"715",2012-01-30,18,4.1
"716",2012-01-30,19,4.5
"717",2012-01-30,20,4.5
"718",2012-01-30,21,2.7
"719",2012-01-30,22,2.8
"720",2012-01-30,23,2.2
"721",2012-01-31,0,1.5
"722",2012-01-31,1,1
"723",2012-01-31,2,0.4
"724",2012-01-31,3,1.4
"725",2012-01-31,4,2.5
"726",2012-01-31,5,3
"727",2012-01-31,6,1.5
"728",2012-01-31,7,1.9
"729",2012-01-31,8,1.5
"730",2012-01-31,9,1
